index,countZero,countOnes,percentZeros,percentOnes
0,1000,0,100.0,0.0
1,1000,0,100.0,0.0
2,1000,0,100.0,0.0
3,1000,0,100.0,0.0
4,1000,0,100.0,0.0
5,1000,0,100.0,0.0
6,1000,0,100.0,0.0
7,1000,0,100.0,0.0
8,1000,0,100.0,0.0
9,1000,0,100.0,0.0
10,1000,0,100.0,0.0
11,1000,0,100.0,0.0
12,1000,0,100.0,0.0
13,1000,0,100.0,0.0
14,1000,0,100.0,0.0
15,1000,0,100.0,0.0
16,942,58,94.19999999999999,5.800000000000001
17,531,469,53.1,46.9
18,520,480,52.0,48.0
19,512,488,51.2,48.8
20,554,446,55.400000000000006,44.6
21,512,488,51.2,48.8
22,525,475,52.5,47.5
23,495,505,49.5,50.5
24,496,504,49.6,50.4
25,505,495,50.5,49.5
26,518,482,51.800000000000004,48.199999999999996
27,497,503,49.7,50.3
28,489,511,48.9,51.1
29,509,491,50.9,49.1
30,530,470,53.0,47.0
31,511,489,51.1,48.9
32,495,505,49.5,50.5
33,487,513,48.699999999999996,51.300000000000004
34,520,480,52.0,48.0
35,524,476,52.400000000000006,47.599999999999994
36,493,507,49.3,50.7
37,517,483,51.7,48.3
38,514,486,51.4,48.6
39,505,495,50.5,49.5
40,504,496,50.4,49.6
41,479,521,47.9,52.1
42,494,506,49.4,50.6
43,503,497,50.3,49.7
44,514,486,51.4,48.6
45,523,477,52.300000000000004,47.699999999999996
46,495,505,49.5,50.5
47,504,496,50.4,49.6
48,493,507,49.3,50.7
49,492,508,49.2,50.8
50,502,498,50.2,49.8
51,516,484,51.6,48.4
52,503,497,50.3,49.7
53,490,510,49.0,51.0
54,514,486,51.4,48.6
55,508,492,50.8,49.2
56,486,514,48.6,51.4
57,488,512,48.8,51.2
58,509,491,50.9,49.1
59,520,480,52.0,48.0
60,491,509,49.1,50.9
61,486,514,48.6,51.4
62,518,482,51.800000000000004,48.199999999999996
63,509,491,50.9,49.1
64,506,494,50.6,49.4
65,513,487,51.300000000000004,48.699999999999996
66,475,525,47.5,52.5
67,501,499,50.1,49.9
68,499,501,49.9,50.1
69,517,483,51.7,48.3
70,498,502,49.8,50.2
71,493,507,49.3,50.7
72,527,473,52.7,47.3
73,500,500,50.0,50.0
74,517,483,51.7,48.3
75,495,505,49.5,50.5
76,499,501,49.9,50.1
77,524,476,52.400000000000006,47.599999999999994
78,503,497,50.3,49.7
79,501,499,50.1,49.9
80,483,517,48.3,51.7
81,512,488,51.2,48.8
82,509,491,50.9,49.1
83,455,545,45.5,54.50000000000001
84,490,510,49.0,51.0
85,489,511,48.9,51.1
86,500,500,50.0,50.0
87,521,479,52.1,47.9
88,515,485,51.5,48.5
89,505,495,50.5,49.5
90,487,513,48.699999999999996,51.300000000000004
91,495,505,49.5,50.5
92,511,489,51.1,48.9
93,488,512,48.8,51.2
94,517,483,51.7,48.3
95,499,501,49.9,50.1
96,519,481,51.9,48.1
97,504,496,50.4,49.6
98,494,506,49.4,50.6
99,491,509,49.1,50.9
100,477,523,47.699999999999996,52.300000000000004
101,493,507,49.3,50.7
102,539,461,53.900000000000006,46.1
103,521,479,52.1,47.9
104,494,506,49.4,50.6
105,484,516,48.4,51.6
106,480,520,48.0,52.0
107,510,490,51.0,49.0
108,487,513,48.699999999999996,51.300000000000004
109,506,494,50.6,49.4
110,484,516,48.4,51.6
111,496,504,49.6,50.4
112,522,478,52.2,47.8
113,511,489,51.1,48.9
114,491,509,49.1,50.9
115,508,492,50.8,49.2
116,492,508,49.2,50.8
117,505,495,50.5,49.5
118,498,502,49.8,50.2
119,484,516,48.4,51.6
120,491,509,49.1,50.9
121,504,496,50.4,49.6
122,482,518,48.199999999999996,51.800000000000004
123,474,526,47.4,52.6
124,497,503,49.7,50.3
125,494,506,49.4,50.6
126,505,495,50.5,49.5
127,518,482,51.800000000000004,48.199999999999996
